_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2171
2,BEDS_ICU_OCCUPIED_COVID_19,847
3,BEDS_ICU_NO_OCCUPIED_COVID_19,853
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,471
5,VENTS_TOTAL,2801
6,VENTS_ALL_USE_COVID_19,262
7,VENTS_NON_COVID_PTS_ON_VENTS,502
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2037
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,39.00999999999999801048033987171947956085205078125
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,39.28999999999999914734871708787977695465087890625
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,21.699999999999999289457264239899814128875732421875
12,PCT_VENTS_ALL_USE_COVID_19,9.3499999999999996447286321199499070644378662109375
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,17.9200000000000017053025658242404460906982421875
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,72.719999999999998863131622783839702606201171875
