_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2192
2,BEDS_ICU_OCCUPIED_COVID_19,308
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1176
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,708
5,VENTS_TOTAL,2910
6,VENTS_ALL_USE_COVID_19,93
7,VENTS_NON_COVID_PTS_ON_VENTS,437
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2380
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,14.050000000000000710542735760100185871124267578125
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,53.64999999999999857891452847979962825775146484375
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,32.2999999999999971578290569595992565155029296875
12,PCT_VENTS_ALL_USE_COVID_19,3.20000000000000017763568394002504646778106689453125
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,15.019999999999999573674358543939888477325439453125
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,81.7900000000000062527760746888816356658935546875
