_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2169
2,BEDS_ICU_OCCUPIED_COVID_19,545
3,BEDS_ICU_NO_OCCUPIED_COVID_19,972
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,652
5,VENTS_TOTAL,2812
6,VENTS_ALL_USE_COVID_19,183
7,VENTS_NON_COVID_PTS_ON_VENTS,461
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2168
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,25.129999999999999005240169935859739780426025390625
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,44.81000000000000227373675443232059478759765625
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,30.059999999999998721023075631819665431976318359375
12,PCT_VENTS_ALL_USE_COVID_19,6.5099999999999997868371792719699442386627197265625
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16.3900000000000005684341886080801486968994140625
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,77.099999999999994315658113919198513031005859375
