_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2162
2,BEDS_ICU_OCCUPIED_COVID_19,515
3,BEDS_ICU_NO_OCCUPIED_COVID_19,996
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,651
5,VENTS_TOTAL,2811
6,VENTS_ALL_USE_COVID_19,174
7,VENTS_NON_COVID_PTS_ON_VENTS,430
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2207
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,23.82000000000000028421709430404007434844970703125
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,46.07000000000000028421709430404007434844970703125
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,30.1099999999999994315658113919198513031005859375
12,PCT_VENTS_ALL_USE_COVID_19,6.19000000000000039079850466805510222911834716796875
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,15.300000000000000710542735760100185871124267578125
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,78.5100000000000051159076974727213382720947265625
