_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2438
2,BEDS_ICU_OCCUPIED_COVID_19,301
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1117
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,1020
5,VENTS_TOTAL,2862
6,VENTS_ALL_USE_COVID_19,69
7,VENTS_NON_COVID_PTS_ON_VENTS,391
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2402
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,12.3499999999999996447286321199499070644378662109375
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,45.82000000000000028421709430404007434844970703125
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,41.840000000000003410605131648480892181396484375
12,PCT_VENTS_ALL_USE_COVID_19,2.410000000000000142108547152020037174224853515625
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,13.660000000000000142108547152020037174224853515625
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,83.93000000000000682121026329696178436279296875
