_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2156
2,BEDS_ICU_OCCUPIED_COVID_19,909
3,BEDS_ICU_NO_OCCUPIED_COVID_19,722
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,525
5,VENTS_TOTAL,2801
6,VENTS_ALL_USE_COVID_19,325
7,VENTS_NON_COVID_PTS_ON_VENTS,454
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2022
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,42.159999999999996589394868351519107818603515625
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,33.49000000000000198951966012828052043914794921875
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,24.35000000000000142108547152020037174224853515625
12,PCT_VENTS_ALL_USE_COVID_19,11.5999999999999996447286321199499070644378662109375
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16.21000000000000085265128291212022304534912109375
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,72.18999999999999772626324556767940521240234375
