_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2238
2,BEDS_ICU_OCCUPIED_COVID_19,281
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1187
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,770
5,VENTS_TOTAL,2896
6,VENTS_ALL_USE_COVID_19,104
7,VENTS_NON_COVID_PTS_ON_VENTS,449
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2343
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,12.5600000000000004973799150320701301097869873046875
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,53.03999999999999914734871708787977695465087890625
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,34.409999999999996589394868351519107818603515625
12,PCT_VENTS_ALL_USE_COVID_19,3.589999999999999857891452847979962825775146484375
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,15.5
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,80.900000000000005684341886080801486968994140625
