_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2158
2,BEDS_ICU_OCCUPIED_COVID_19,915
3,BEDS_ICU_NO_OCCUPIED_COVID_19,719
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,524
5,VENTS_TOTAL,2799
6,VENTS_ALL_USE_COVID_19,317
7,VENTS_NON_COVID_PTS_ON_VENTS,470
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2012
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,42.39999999999999857891452847979962825775146484375
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,33.32000000000000028421709430404007434844970703125
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,24.280000000000001136868377216160297393798828125
12,PCT_VENTS_ALL_USE_COVID_19,11.3300000000000000710542735760100185871124267578125
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16.78999999999999914734871708787977695465087890625
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,71.8799999999999954525264911353588104248046875
