_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2225
2,BEDS_ICU_OCCUPIED_COVID_19,379
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1129
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,717
5,VENTS_TOTAL,2890
6,VENTS_ALL_USE_COVID_19,136
7,VENTS_NON_COVID_PTS_ON_VENTS,491
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2263
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,17.030000000000001136868377216160297393798828125
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,50.74000000000000198951966012828052043914794921875
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,32.219999999999998863131622783839702606201171875
12,PCT_VENTS_ALL_USE_COVID_19,4.70999999999999996447286321199499070644378662109375
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16.989999999999998436805981327779591083526611328125
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,78.2999999999999971578290569595992565155029296875
