_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2232
2,BEDS_ICU_OCCUPIED_COVID_19,339
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1172
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,721
5,VENTS_TOTAL,2890
6,VENTS_ALL_USE_COVID_19,115
7,VENTS_NON_COVID_PTS_ON_VENTS,510
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2265
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,15.1899999999999995026200849679298698902130126953125
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,52.50999999999999801048033987171947956085205078125
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,32.2999999999999971578290569595992565155029296875
12,PCT_VENTS_ALL_USE_COVID_19,3.979999999999999982236431605997495353221893310546875
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,17.64999999999999857891452847979962825775146484375
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,78.3700000000000045474735088646411895751953125
