_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2270
2,BEDS_ICU_OCCUPIED_COVID_19,290
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1231
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,749
5,VENTS_TOTAL,2896
6,VENTS_ALL_USE_COVID_19,86
7,VENTS_NON_COVID_PTS_ON_VENTS,492
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2318
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,12.7799999999999993605115378159098327159881591796875
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,54.22999999999999687361196265555918216705322265625
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,33
12,PCT_VENTS_ALL_USE_COVID_19,2.970000000000000195399252334027551114559173583984375
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16.989999999999998436805981327779591083526611328125
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,80.0400000000000062527760746888816356658935546875
