_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2151
2,BEDS_ICU_OCCUPIED_COVID_19,925
3,BEDS_ICU_NO_OCCUPIED_COVID_19,745
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,481
5,VENTS_TOTAL,2802
6,VENTS_ALL_USE_COVID_19,291
7,VENTS_NON_COVID_PTS_ON_VENTS,474
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2037
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,43
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,34.6400000000000005684341886080801486968994140625
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,22.3599999999999994315658113919198513031005859375
12,PCT_VENTS_ALL_USE_COVID_19,10.3900000000000005684341886080801486968994140625
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16.9200000000000017053025658242404460906982421875
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,72.7000000000000028421709430404007434844970703125
