_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2215
2,BEDS_ICU_OCCUPIED_COVID_19,346
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1081
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,788
5,VENTS_TOTAL,2890
6,VENTS_ALL_USE_COVID_19,122
7,VENTS_NON_COVID_PTS_ON_VENTS,495
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2273
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,15.6199999999999992184029906638897955417633056640625
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,48.7999999999999971578290569595992565155029296875
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,35.5799999999999982946974341757595539093017578125
12,PCT_VENTS_ALL_USE_COVID_19,4.21999999999999975131004248396493494510650634765625
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,17.129999999999999005240169935859739780426025390625
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,78.650000000000005684341886080801486968994140625
