_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2152
2,BEDS_ICU_OCCUPIED_COVID_19,481
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1007
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,664
5,VENTS_TOTAL,2835
6,VENTS_ALL_USE_COVID_19,152
7,VENTS_NON_COVID_PTS_ON_VENTS,468
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2215
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,22.35000000000000142108547152020037174224853515625
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,46.78999999999999914734871708787977695465087890625
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,30.8599999999999994315658113919198513031005859375
12,PCT_VENTS_ALL_USE_COVID_19,5.36000000000000031974423109204508364200592041015625
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16.510000000000001563194018672220408916473388671875
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,78.1299999999999954525264911353588104248046875
