_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2358
2,BEDS_ICU_OCCUPIED_COVID_19,255
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1217
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,886
5,VENTS_TOTAL,2920
6,VENTS_ALL_USE_COVID_19,71
7,VENTS_NON_COVID_PTS_ON_VENTS,418
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2431
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,10.8100000000000004973799150320701301097869873046875
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,51.6099999999999994315658113919198513031005859375
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,37.57000000000000028421709430404007434844970703125
12,PCT_VENTS_ALL_USE_COVID_19,2.430000000000000159872115546022541821002960205078125
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,14.32000000000000028421709430404007434844970703125
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,83.25
