_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2375
2,BEDS_ICU_OCCUPIED_COVID_19,284
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1248
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,843
5,VENTS_TOTAL,2981
6,VENTS_ALL_USE_COVID_19,79
7,VENTS_NON_COVID_PTS_ON_VENTS,399
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2503
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,11.96000000000000085265128291212022304534912109375
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,52.5499999999999971578290569595992565155029296875
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,35.49000000000000198951966012828052043914794921875
12,PCT_VENTS_ALL_USE_COVID_19,2.649999999999999911182158029987476766109466552734375
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,13.3800000000000007815970093361102044582366943359375
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,83.969999999999998863131622783839702606201171875
