_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2159
2,BEDS_ICU_OCCUPIED_COVID_19,750
3,BEDS_ICU_NO_OCCUPIED_COVID_19,843
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,566
5,VENTS_TOTAL,2803
6,VENTS_ALL_USE_COVID_19,232
7,VENTS_NON_COVID_PTS_ON_VENTS,470
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2101
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,34.74000000000000198951966012828052043914794921875
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,39.0499999999999971578290569595992565155029296875
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,26.219999999999998863131622783839702606201171875
12,PCT_VENTS_ALL_USE_COVID_19,8.2799999999999993605115378159098327159881591796875
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16.769999999999999573674358543939888477325439453125
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,74.9599999999999937472239253111183643341064453125
