_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2186
2,BEDS_ICU_OCCUPIED_COVID_19,956
3,BEDS_ICU_NO_OCCUPIED_COVID_19,753
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,477
5,VENTS_TOTAL,2806
6,VENTS_ALL_USE_COVID_19,326
7,VENTS_NON_COVID_PTS_ON_VENTS,465
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2015
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,43.72999999999999687361196265555918216705322265625
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,34.4500000000000028421709430404007434844970703125
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,21.82000000000000028421709430404007434844970703125
12,PCT_VENTS_ALL_USE_COVID_19,11.6199999999999992184029906638897955417633056640625
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16.57000000000000028421709430404007434844970703125
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,71.81000000000000227373675443232059478759765625
