_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2396
2,BEDS_ICU_OCCUPIED_COVID_19,282
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1051
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,1063
5,VENTS_TOTAL,2852
6,VENTS_ALL_USE_COVID_19,62
7,VENTS_NON_COVID_PTS_ON_VENTS,410
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2380
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,11.769999999999999573674358543939888477325439453125
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,43.8599999999999994315658113919198513031005859375
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,44.36999999999999744204615126363933086395263671875
12,PCT_VENTS_ALL_USE_COVID_19,2.1699999999999999289457264239899814128875732421875
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,14.3800000000000007815970093361102044582366943359375
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,83.4500000000000028421709430404007434844970703125
