_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2265
2,BEDS_ICU_OCCUPIED_COVID_19,305
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1085
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,875
5,VENTS_TOTAL,2896
6,VENTS_ALL_USE_COVID_19,81
7,VENTS_NON_COVID_PTS_ON_VENTS,425
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2390
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,13.4700000000000006394884621840901672840118408203125
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,47.89999999999999857891452847979962825775146484375
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,38.63000000000000255795384873636066913604736328125
12,PCT_VENTS_ALL_USE_COVID_19,2.79999999999999982236431605997495353221893310546875
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,14.67999999999999971578290569595992565155029296875
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,82.530000000000001136868377216160297393798828125
