_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2159
2,BEDS_ICU_OCCUPIED_COVID_19,547
3,BEDS_ICU_NO_OCCUPIED_COVID_19,955
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,657
5,VENTS_TOTAL,2811
6,VENTS_ALL_USE_COVID_19,180
7,VENTS_NON_COVID_PTS_ON_VENTS,441
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2190
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,25.339999999999999857891452847979962825775146484375
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,44.22999999999999687361196265555918216705322265625
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,30.42999999999999971578290569595992565155029296875
12,PCT_VENTS_ALL_USE_COVID_19,6.4000000000000003552713678800500929355621337890625
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,15.6899999999999995026200849679298698902130126953125
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,77.909999999999996589394868351519107818603515625
