_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2161
2,BEDS_ICU_OCCUPIED_COVID_19,500
3,BEDS_ICU_NO_OCCUPIED_COVID_19,952
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,709
5,VENTS_TOTAL,2832
6,VENTS_ALL_USE_COVID_19,164
7,VENTS_NON_COVID_PTS_ON_VENTS,465
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2203
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,23.1400000000000005684341886080801486968994140625
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,44.0499999999999971578290569595992565155029296875
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,32.81000000000000227373675443232059478759765625
12,PCT_VENTS_ALL_USE_COVID_19,5.79000000000000003552713678800500929355621337890625
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16.4200000000000017053025658242404460906982421875
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,77.7900000000000062527760746888816356658935546875
