_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2280
2,BEDS_ICU_OCCUPIED_COVID_19,265
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1211
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,804
5,VENTS_TOTAL,2896
6,VENTS_ALL_USE_COVID_19,92
7,VENTS_NON_COVID_PTS_ON_VENTS,432
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2372
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,11.6199999999999992184029906638897955417633056640625
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,53.1099999999999994315658113919198513031005859375
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,35.25999999999999801048033987171947956085205078125
12,PCT_VENTS_ALL_USE_COVID_19,3.180000000000000159872115546022541821002960205078125
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,14.9199999999999999289457264239899814128875732421875
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,81.909999999999996589394868351519107818603515625
