_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2162
2,BEDS_ICU_OCCUPIED_COVID_19,649
3,BEDS_ICU_NO_OCCUPIED_COVID_19,944
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,569
5,VENTS_TOTAL,2812
6,VENTS_ALL_USE_COVID_19,196
7,VENTS_NON_COVID_PTS_ON_VENTS,450
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2166
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,30.019999999999999573674358543939888477325439453125
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,43.659999999999996589394868351519107818603515625
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,26.32000000000000028421709430404007434844970703125
12,PCT_VENTS_ALL_USE_COVID_19,6.96999999999999975131004248396493494510650634765625
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,77.030000000000001136868377216160297393798828125
