_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2171
2,BEDS_ICU_OCCUPIED_COVID_19,854
3,BEDS_ICU_NO_OCCUPIED_COVID_19,855
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,462
5,VENTS_TOTAL,2801
6,VENTS_ALL_USE_COVID_19,269
7,VENTS_NON_COVID_PTS_ON_VENTS,481
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2051
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,39.340000000000003410605131648480892181396484375
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,39.38000000000000255795384873636066913604736328125
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,21.280000000000001136868377216160297393798828125
12,PCT_VENTS_ALL_USE_COVID_19,9.5999999999999996447286321199499070644378662109375
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,17.1700000000000017053025658242404460906982421875
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,73.219999999999998863131622783839702606201171875
