_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2145
2,BEDS_ICU_OCCUPIED_COVID_19,566
3,BEDS_ICU_NO_OCCUPIED_COVID_19,886
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,693
5,VENTS_TOTAL,2813
6,VENTS_ALL_USE_COVID_19,194
7,VENTS_NON_COVID_PTS_ON_VENTS,443
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2176
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,26.3900000000000005684341886080801486968994140625
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,41.31000000000000227373675443232059478759765625
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,32.31000000000000227373675443232059478759765625
12,PCT_VENTS_ALL_USE_COVID_19,6.9000000000000003552713678800500929355621337890625
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,15.75
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,77.3599999999999994315658113919198513031005859375
