_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2169
2,BEDS_ICU_OCCUPIED_COVID_19,955
3,BEDS_ICU_NO_OCCUPIED_COVID_19,751
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,463
5,VENTS_TOTAL,2809
6,VENTS_ALL_USE_COVID_19,338
7,VENTS_NON_COVID_PTS_ON_VENTS,464
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2007
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,44.030000000000001136868377216160297393798828125
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,34.61999999999999744204615126363933086395263671875
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,21.35000000000000142108547152020037174224853515625
12,PCT_VENTS_ALL_USE_COVID_19,12.0299999999999993605115378159098327159881591796875
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16.519999999999999573674358543939888477325439453125
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,71.4500000000000028421709430404007434844970703125
