_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2244
2,BEDS_ICU_OCCUPIED_COVID_19,333
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1094
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,817
5,VENTS_TOTAL,2890
6,VENTS_ALL_USE_COVID_19,103
7,VENTS_NON_COVID_PTS_ON_VENTS,458
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2329
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,14.839999999999999857891452847979962825775146484375
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,48.75
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,36.409999999999996589394868351519107818603515625
12,PCT_VENTS_ALL_USE_COVID_19,3.560000000000000053290705182007513940334320068359375
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,15.8499999999999996447286321199499070644378662109375
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,80.590000000000003410605131648480892181396484375
