_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2152
2,BEDS_ICU_OCCUPIED_COVID_19,664
3,BEDS_ICU_NO_OCCUPIED_COVID_19,982
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,506
5,VENTS_TOTAL,2802
6,VENTS_ALL_USE_COVID_19,216
7,VENTS_NON_COVID_PTS_ON_VENTS,447
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2139
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,30.8599999999999994315658113919198513031005859375
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,45.63000000000000255795384873636066913604736328125
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,23.510000000000001563194018672220408916473388671875
12,PCT_VENTS_ALL_USE_COVID_19,7.70999999999999996447286321199499070644378662109375
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,15.949999999999999289457264239899814128875732421875
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,76.340000000000003410605131648480892181396484375
