_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2205
2,BEDS_ICU_OCCUPIED_COVID_19,301
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1185
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,719
5,VENTS_TOTAL,2912
6,VENTS_ALL_USE_COVID_19,82
7,VENTS_NON_COVID_PTS_ON_VENTS,451
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2379
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,13.6500000000000003552713678800500929355621337890625
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,53.74000000000000198951966012828052043914794921875
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,32.6099999999999994315658113919198513031005859375
12,PCT_VENTS_ALL_USE_COVID_19,2.819999999999999840127884453977458178997039794921875
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,15.4900000000000002131628207280300557613372802734375
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,81.7000000000000028421709430404007434844970703125
