_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2357
2,BEDS_ICU_OCCUPIED_COVID_19,266
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1201
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,890
5,VENTS_TOTAL,2995
6,VENTS_ALL_USE_COVID_19,73
7,VENTS_NON_COVID_PTS_ON_VENTS,404
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2518
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,11.28999999999999914734871708787977695465087890625
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,50.9500000000000028421709430404007434844970703125
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,37.75999999999999801048033987171947956085205078125
12,PCT_VENTS_ALL_USE_COVID_19,2.439999999999999946709294817992486059665679931640625
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,13.4900000000000002131628207280300557613372802734375
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,84.06999999999999317878973670303821563720703125
