_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2290
2,BEDS_ICU_OCCUPIED_COVID_19,262
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1199
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,829
5,VENTS_TOTAL,2896
6,VENTS_ALL_USE_COVID_19,95
7,VENTS_NON_COVID_PTS_ON_VENTS,437
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2364
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,11.4399999999999995026200849679298698902130126953125
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,52.3599999999999994315658113919198513031005859375
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,36.2000000000000028421709430404007434844970703125
12,PCT_VENTS_ALL_USE_COVID_19,3.279999999999999804600747665972448885440826416015625
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,15.089999999999999857891452847979962825775146484375
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,81.6299999999999954525264911353588104248046875
