_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2164
2,BEDS_ICU_OCCUPIED_COVID_19,671
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1010
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,483
5,VENTS_TOTAL,2812
6,VENTS_ALL_USE_COVID_19,220
7,VENTS_NON_COVID_PTS_ON_VENTS,467
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2125
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,31.010000000000001563194018672220408916473388671875
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,46.6700000000000017053025658242404460906982421875
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,22.32000000000000028421709430404007434844970703125
12,PCT_VENTS_ALL_USE_COVID_19,7.82000000000000028421709430404007434844970703125
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16.6099999999999994315658113919198513031005859375
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,75.56999999999999317878973670303821563720703125
