_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2149
2,BEDS_ICU_OCCUPIED_COVID_19,433
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1047
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,669
5,VENTS_TOTAL,2829
6,VENTS_ALL_USE_COVID_19,143
7,VENTS_NON_COVID_PTS_ON_VENTS,476
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2210
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,20.14999999999999857891452847979962825775146484375
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,48.719999999999998863131622783839702606201171875
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,31.129999999999999005240169935859739780426025390625
12,PCT_VENTS_ALL_USE_COVID_19,5.04999999999999982236431605997495353221893310546875
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16.8299999999999982946974341757595539093017578125
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,78.1200000000000045474735088646411895751953125
