_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2157
2,BEDS_ICU_OCCUPIED_COVID_19,729
3,BEDS_ICU_NO_OCCUPIED_COVID_19,879
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,549
5,VENTS_TOTAL,2804
6,VENTS_ALL_USE_COVID_19,224
7,VENTS_NON_COVID_PTS_ON_VENTS,498
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2082
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,33.7999999999999971578290569595992565155029296875
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,40.75
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,25.449999999999999289457264239899814128875732421875
12,PCT_VENTS_ALL_USE_COVID_19,7.9900000000000002131628207280300557613372802734375
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,17.760000000000001563194018672220408916473388671875
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,74.25
