_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2296
2,BEDS_ICU_OCCUPIED_COVID_19,267
3,BEDS_ICU_NO_OCCUPIED_COVID_19,1221
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,808
5,VENTS_TOTAL,2896
6,VENTS_ALL_USE_COVID_19,88
7,VENTS_NON_COVID_PTS_ON_VENTS,471
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2337
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,11.6300000000000007815970093361102044582366943359375
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,53.17999999999999971578290569595992565155029296875
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,35.18999999999999772626324556767940521240234375
12,PCT_VENTS_ALL_USE_COVID_19,3.04000000000000003552713678800500929355621337890625
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,16.260000000000001563194018672220408916473388671875
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,80.7000000000000028421709430404007434844970703125
