_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2155
2,BEDS_ICU_OCCUPIED_COVID_19,599
3,BEDS_ICU_NO_OCCUPIED_COVID_19,909
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,647
5,VENTS_TOTAL,2814
6,VENTS_ALL_USE_COVID_19,183
7,VENTS_NON_COVID_PTS_ON_VENTS,444
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2187
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,27.800000000000000710542735760100185871124267578125
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,42.17999999999999971578290569595992565155029296875
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,30.019999999999999573674358543939888477325439453125
12,PCT_VENTS_ALL_USE_COVID_19,6.5
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,15.7799999999999993605115378159098327159881591796875
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,77.719999999999998863131622783839702606201171875
