_id,facility_name,facility_submission_status,infected_residents,infected_staff,resident_deaths
1,1717 SENIOR LIVING,Data Submitted,0,< 5,0
2,ADAMS HERITAGE,Data Submitted,< 5,11,< 5
3,ADAMS WOODCREST,Data Submitted,16,30,< 5
4,ADDISON PLACE,Data Submitted,28,13,< 5
5,ADDISON POINTE HEALTH & REHABILITATION CENTER,Data Submitted,23,10,7
6,ALBANY HEALTH CARE & REHABILITATION CENTER,Data Submitted,46,30,8
7,ALEXANDRIA CARE CENTER,Data Submitted,23,13,< 5
8,ALLISON POINTE HEALTHCARE CENTER,Data Submitted,68,11,11
9,ALLISON POINTE HEALTHCARE CENTER,Data Submitted,0,0,0
10,ALPHA HOME - A WATERS COMMUNITY,Data Submitted,54,8,19
11,ALTENHEIM HEALTH & LIVING COMMUNITY,Data Submitted,< 5,17,0
12,AMBASSADOR HEALTHCARE,Data Submitted,32,23,10
13,AMBER MANOR CARE CENTER,Data Submitted,52,53,17
14,ANSON SENIOR LIVING,Data Submitted,0,< 5,0
15,ANTHOLOGY OF MERIDIAN HILLS,Data Submitted,6,< 5,< 5
16,APERION CARE ANGOLA,Data Submitted,< 5,< 5,< 5
17,APERION CARE ARBORS MICHIGAN CITY,Data Submitted,10,< 5,< 5
18,APERION CARE DEMOTTE,Data Submitted,43,15,9
19,APERION CARE FORT WAYNE,Data Submitted,20,8,5
20,APERION CARE FRANKFORT,Data Submitted,< 5,7,0
21,APERION CARE KOKOMO,Data Submitted,31,12,< 5
22,APERION CARE MARION,Data Submitted,< 5,5,0
23,APERION CARE PERU,Data Submitted,0,< 5,0
24,APERION CARE SPENCER,Data Submitted,50,34,6
25,APERION CARE TOLLESTON PARK,Data Submitted,43,23,7
26,APERION CARE UNIVERSITY PARK,Data Submitted,< 5,8,0
27,APERION CARE WALDRON,Data Submitted,28,12,< 5
28,APERION ESTATES PERU,Data Submitted,0,< 5,0
29,APPLE RIDGE ASSISTED LIVING AND MEMORY CARE,Data Submitted,< 5,7,0
30,ARBOR TRACE HEALTH & LIVING COMMUNITY,Data Submitted,12,6,< 5
31,ARLINGTON PLACE HEALTH CAMPUS,Data Submitted,12,20,< 5
32,ASBURY TOWERS HEALTH CARE CENTER,Data Submitted,35,26,5
33,ASHFORD PLACE HEALTH CAMPUS,Data Submitted,53,36,< 5
34,ASHTON CREEK HEALTH AND REHABILITATION CENTER,Data Submitted,34,12,< 5
35,ASPEN PLACE HEALTH CAMPUS,Data Submitted,< 5,11,0
36,ASPEN TRACE HEALTH & LIVING COMMUNITY,Data Submitted,< 5,5,0
37,ASSISTED LIVING AT ROMWEBER FLATS,Data Submitted,< 5,< 5,0
38,HHC-ASC ASTER PLACE ASSISTED LIVING,Data Submitted,< 5,< 5,< 5
39,AUBURN VILLAGE,Data Submitted,31,18,6
40,AUTUMN GLEN,Data Submitted,0,0,0
41,AUTUMN HILLS ALZHEIMER'S SPECIAL CARE CENTER,Data Submitted,0,0,0
42,AUTUMN WOODS HEALTH CAMPUS,Data Submitted,< 5,8,0
43,AVALON SPRINGS HEALTH CAMPUS,Data Submitted,< 5,13,0
44,AVON HEALTH & REHABILITATION CENTER,Data Submitted,36,17,13
45,AZALEA HILLS,Data Submitted,0,0,0
46,BARRINGTON OF CARMEL,Data Submitted,11,15,0
47,BELL OAKS PLACE,Data Submitted,9,7,< 5
48,BELL TRACE HEALTH AND LIVING CENTER,Data Submitted,17,11,< 5
49,BELLTOWER HEALTH & REHABILITATION CENTER,Data Submitted,29,5,< 5
50,BELVEDERE SENIOR HOUSING,Data Submitted,< 5,< 5,0
51,BENNETT PLACE,Data Submitted,0,0,0
