_id,Facility,Facility_Submission_Status,Infected_Residents,Infected_Staff,Resident_Deaths,Staff_deaths
1,KOKOMO HEALTHCARE CENTER,Data Submitted,49.0,6.0,< 5,
2,RIVER POINTE HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
3,LUTHERAN LIFE VILLAGES,Data Submitted,41.0,23.0,17.0,
4,HHC-ASC COMMUNITY NURSING AND REHABILITATION CENTER,Data Submitted,10.0,14.0,< 5,
5,THE SPRINGS OF RICHMOND,Data Submitted,< 5,< 5,0.0,
6,HHC-ASC ZIONSVILLE MEADOWS,Data Submitted,23.0,< 5,< 5,
7,WEDGEWOOD HEALTHCARE CENTER,Data Submitted,71.0,27.0,16.0,
8,MAJESTIC CARE OF NORTH VERNON,Data Submitted,24.0,7.0,8.0,
9,MORNING POINTE OF FRANKLIN,Data Submitted,< 5,< 5,< 5,
10,HHC-ASC BETZ NURSING HOME,Data Submitted,< 5,< 5,0.0,
11,HHC-ASC ROSEWALK VILLAGE,Data Submitted,< 5,< 5,0.0,
12,BELL TRACE HEALTH AND LIVING CENTER,Data Submitted,7.0,< 5,0.0,
13,HARBOUR MANOR HEALTH & LIVING COMMUNITY,Data Submitted,12.0,8.0,< 5,
14,STONECROFT HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
15,APERION CARE TOLLESTON PARK,Data Submitted,51.0,21.0,6.0,
16,WELLBROOKE OF WESTFIELD,Data Submitted,< 5,5.0,0.0,
17,ST ELIZABETH HEALTHCARE CENTER,Data Submitted,< 5,0.0,0.0,
18,MILLER'S MERRY MANOR - PORTAGE,Data Submitted,35.0,12.0,13.0,
19,HHC-ASC ROSEGATE COMMONS ASST LIVING,Data Submitted,11.0,0.0,< 5,
20,HHC-ASC HARRISON TERRACE,Data Submitted,71.0,16.0,38.0,
21,UNIVERSITY HEIGHTS HEALTH AND LIVING COMMUNITY,Data Submitted,5.0,5.0,< 5,
22,GLEN OAKS HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
23,WOODLAND MANOR,Data Submitted,< 5,0.0,0.0,
24,CEDAR CREEK HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
25,BRIDGEWATER HEALTHCARE CENTER,Data Submitted,7.0,< 5,0.0,
26,HHC-ASC BEN HUR HEALTH AND REHAB,Data Submitted,64.0,11.0,16.0,
27,ST AUGUSTINE HOME FOR THE AGED,Data Submitted,16.0,7.0,6.0,
28,TRAIL CREEK PLACE - MC,Data Submitted,< 5,0.0,0.0,
29,OAKWOOD HEALTH CAMPUS,Data Submitted,34.0,26.0,9.0,
30,WILDWOOD HEALTHCARE CENTER,Data Submitted,173.0,37.0,19.0,
31,MONROE PLACE,Data Submitted,< 5,0.0,< 5,
32,OTTERBEIN FRANKLIN SENIORLIFE COMM & COM CARE,Data Submitted,59.0,37.0,16.0,
33,SILVER BIRCH OF TERRE HAUTE,Data Submitted,< 5,0.0,0.0,
34,DIVERSICARE OF PROVIDENCE,Data Submitted,104.0,38.0,31.0,
35,PROVIDENCE ANDERSON,Data Submitted,8.0,< 5,5.0,
