_id,facility_name,facility_submission_status,infected_residents,infected_staff,resident_deaths
1,1717 SENIOR LIVING,Data Submitted,0,0,0
2,ADAMS HERITAGE,Data Submitted,0,< 5,0
3,ADAMS WOODCREST,Data Submitted,0,< 5,0
4,ADDISON PLACE,Data Submitted,5,< 5,< 5
5,ADDISON POINTE HEALTH & REHABILITATION CENTER,Data Submitted,22,8,7
6,ALBANY HEALTH CARE & REHABILITATION CENTER,Data Submitted,< 5,12,0
7,ALEXANDRIA CARE CENTER,Data Submitted,8,7,< 5
8,ALLISON POINTE HEALTHCARE CENTER,Data Submitted,68,10,11
9,ALPHA HOME - A WATERS COMMUNITY,Data Submitted,54,7,18
10,ALTENHEIM HEALTH & LIVING COMMUNITY,Data Submitted,0,10,0
11,AMBASSADOR HEALTHCARE,Data Submitted,0,0,0
12,AMBER MANOR CARE CENTER,Data Submitted,< 5,5,< 5
13,ANSON SENIOR LIVING,Data Submitted,0,0,0
14,ANTHOLOGY OF MERIDIAN HILLS,Data Submitted,5,< 5,< 5
15,APERION CARE ANGOLA,Data Submitted,< 5,< 5,< 5
16,APERION CARE ARBORS MICHIGAN CITY,Data Submitted,10,< 5,< 5
17,APERION CARE DEMOTTE,Data Submitted,41,8,9
18,APERION CARE FORT WAYNE,Data Submitted,20,7,5
19,APERION CARE FRANKFORT,Data Submitted,< 5,< 5,0
20,APERION CARE KOKOMO,Data Submitted,12,< 5,0
21,APERION CARE MARION,Data Submitted,< 5,< 5,0
22,APERION CARE PERU,Data Submitted,0,0,0
23,APERION CARE SPENCER,Data Submitted,< 5,< 5,0
24,APERION CARE TOLLESTON PARK,Data Submitted,43,20,7
25,APERION CARE UNIVERSITY PARK,Data Submitted,0,5,0
26,APERION CARE WALDRON,Data Submitted,28,10,< 5
27,APERION ESTATES PERU,Data Submitted,0,< 5,0
28,APPLE RIDGE ASSISTED LIVING AND MEMORY CARE,Data Submitted,< 5,< 5,0
29,ARBOR TRACE HEALTH & LIVING COMMUNITY,Data Submitted,< 5,< 5,< 5
30,ARLINGTON PLACE HEALTH CAMPUS,Data Submitted,< 5,8,< 5
31,ASBURY TOWERS HEALTH CARE CENTER,Data Submitted,9,5,< 5
32,ASHFORD PLACE HEALTH CAMPUS,Data Submitted,< 5,< 5,0
33,ASHTON CREEK HEALTH AND REHABILITATION CENTER,Data Submitted,32,8,< 5
34,ASPEN PLACE HEALTH CAMPUS,Data Submitted,< 5,< 5,0
35,ASPEN TRACE HEALTH & LIVING COMMUNITY,Data Submitted,0,< 5,0
36,ASSISTED LIVING AT ROMWEBER FLATS,Data Submitted,0,0,0
37,HHC-ASC ASTER PLACE ASSISTED LIVING,Data Submitted,0,0,0
38,AUBURN VILLAGE,Data Submitted,< 5,< 5,0
39,AUTUMN GLEN,Data Submitted,0,0,0
40,AUTUMN HILLS ALZHEIMER'S SPECIAL CARE CENTER,Data Submitted,0,0,0
41,AUTUMN WOODS HEALTH CAMPUS,Data Submitted,0,< 5,0
42,AVALON SPRINGS HEALTH CAMPUS,Data Submitted,< 5,< 5,0
43,AVON HEALTH & REHABILITATION CENTER,Data Submitted,36,17,13
44,AZALEA HILLS,Data Submitted,0,0,0
45,BARRINGTON OF CARMEL,Data Submitted,< 5,6,0
46,BELL OAKS PLACE,Data Submitted,7,6,0
47,BELL TRACE HEALTH AND LIVING CENTER,Data Submitted,12,< 5,< 5
48,BELLTOWER HEALTH & REHABILITATION CENTER,Data Submitted,0,0,0
49,BELVEDERE SENIOR HOUSING,Data Submitted,0,< 5,0
50,BENNETT PLACE,Data Submitted,0,0,0
51,BERTHA D GARTEN KETCHAM MEMORIAL CENTER,Data Submitted,28,24,14
52,BETHANY POINTE HEALTH CAMPUS,Data Submitted,76,62,27
53,BETHEL MANOR,Data Submitted,0,< 5,0
54,BETHEL POINTE HEALTH AND REHAB,Data Submitted,0,< 5,0
55,BICKFORD OF CARMEL,Data Submitted,0,0,0
56,BICKFORD OF CROWN POINT,Data Submitted,0,0,0
57,BICKFORD OF GREENWOOD,Data Submitted,0,0,0
58,BLAIR RIDGE HEALTH CAMPUS,Data Submitted,0,0,0
59,BLISS PLACE,Data Submitted,0,< 5,0
60,BLOOM AT EAGLE CREEK,Data Submitted,7,< 5,< 5
61,BLOOM AT GERMAN CHURCH,Data Submitted,0,0,0
62,BLOOM AT KOKOMO,Data Submitted,13,8,< 5
63,BLOOMINGTON NURSING AND REHABILITATION CENTER,Data Submitted,25,< 5,< 5
64,BLUFFTON REGIONAL MEDICAL CENTER CONTINUING CARE,Data Submitted,0,< 5,0
65,BRAUN'S NURSING HOME,Data Submitted,< 5,< 5,0
66,BRECKENRIDGE COMMONS,Data Submitted,0,0,0
67,BRECKENRIDGE HEALTH & REHABILITATION,Data Submitted,0,< 5,0
68,BRENTWOOD AT HOBART,Data Submitted,< 5,7,0
69,BRENTWOOD AT LAPORTE,Data Submitted,0,0,0
70,BRIARCLIFF HEALTH & REHABILITATION CENTER,Data Submitted,< 5,< 5,0
71,BRIDGE AT GARDEN PLAZA,Data Submitted,< 5,0,< 5
72,BRIDGEPOINTE HEALTH CAMPUS,Data Submitted,0,< 5,0
73,BRIDGEWATER HEALTHCARE CENTER,Data Submitted,< 5,< 5,0
74,BRIDGEWATER REHABILITATION CENTRE,Data Submitted,0,< 5,0
75,BRIGHTSTAR SENIOR LIVING OF FORT WAYNE,Data Submitted,0,0,0
76,BROOKDALE BLOOMINGTON,Data Submitted,0,0,0
77,BROOKDALE CARMEL,Data Submitted,16,6,< 5
78,BROOKDALE FORT WAYNE,Data Submitted,< 5,5,0
79,BROOKDALE GRANGER,Data Submitted,0,< 5,0
80,BROOKDALE RICHMOND,Data Submitted,0,< 5,0
81,BROOKDALE SOUTH BEND,Data Submitted,0,0,0
82,BROOKDALE VALPARAISO,Data Submitted,< 5,< 5,0
83,BROOKE KNOLL VILLAGE,Data Submitted,14,7,< 5
84,BROOKSIDE CARE STRATEGIES,Data Submitted,0,0,0
85,BROOKSIDE VILLAGE,Data Submitted,< 5,< 5,< 5
86,BROOKVILLE HEALTHCARE CENTER,Data Submitted,28,15,13
87,BROWN COUNTY HEALTH AND LIVING COMMUNITY,Data Submitted,0,0,0
88,BROWNSBURG HEALTH CARE CENTER,Data Submitted,27,13,11
89,HHC-ASC BROWNSBURG MEADOWS ASSISTED LIVING,Data Submitted,64,22,26
90,BYRON HEALTH CENTER,Data Submitted,0,5,0
91,CAMELOT CARE CENTER,Data Submitted,< 5,< 5,0
92,CANNON INN ASSISTED LIVING,Data Submitted,0,0,0
93,CARMEL HEALTH & LIVING COMMUNITY,Data Submitted,43,16,16
94,CARMEL SENIOR LIVING,Data Submitted,0,0,0
95,CAROLETON HEALTHCARE CENTER,Data Submitted,0,5,0
96,CASTLETON HEALTH CARE CENTER,Data Submitted,< 5,< 5,0
97,CATHEDRAL HEALTH CARE CENTER,Data Submitted,0,< 5,0
98,CATHERINE KASPER HOME,Data Submitted,0,0,0
99,CEDAR CREEK HEALTH CAMPUS,Data Submitted,21,5,< 5
100,CENTURY VILLA HEALTH CARE,Data Submitted,36,22,12
101,CHALET VILLAGE HEALTH AND REHABILITATION CENTER,Data Submitted,0,0,0
102,CHANDLER PLACE,Data Submitted,0,0,0
103,CHAPMAN PLACE,Data Submitted,0,0,0
104,CHARLES FORD MEMORIAL HOME,Data Submitted,0,0,0
105,CHASE CENTER,Data Submitted,0,< 5,0
106,CHATEAU OF BATESVILLE,Data Submitted,< 5,0,0
107,CHESTERTON MANOR,Data Submitted,0,0,0
108,CHRISTIAN CARE RETIREMENT COMMUNITY,Data Submitted,< 5,7,< 5
109,CHRISTINA PLACE,Data Submitted,0,0,0
110,CLARENDALE OF SCHERERVILLE,Data Submitted,7,5,< 5
111,CLARKSVILLE SENIOR LIVING,Data Submitted,0,0,0
112,CLEARVISTA LAKE HEALTH CAMPUS,Data Submitted,< 5,9,0
113,CLOVERLEAF OF KNIGHTSVILLE,Data Submitted,< 5,7,0
114,COBBLESTONE CROSSINGS HEALTH CAMPUS,Data Submitted,< 5,< 5,0
115,COLONIAL NURSING HOME,Data Submitted,0,< 5,0
116,COLONIAL OAKS HEALTH CARE CENTER,Data Submitted,58,37,18
117,COLUMBUS TRANSITIONAL CARE AND REHABILITATION,Data Submitted,83,18,25
118,COMPASS PARK - INDIANA MASONIC HOME,Data Submitted,< 5,< 5,< 5
119,COPPER TRACE HEALTH & LIVING COMMUNITY,Data Submitted,< 5,< 5,< 5
120,CORE OF BEDFORD,Data Submitted,0,< 5,0
121,CORE OF DALE,Data Submitted,0,0,0
122,COUNTRY CHARM,Data Submitted,< 5,< 5,< 5
123,COUNTRYSIDE MANOR HEALTH & LIVING COMMUNITY,Data Submitted,10,< 5,0
124,COURTYARD HEALTHCARE CENTER,Data Submitted,37,28,10
125,HHC-ASC COVENTRY MEADOWS ASSISTED LIVING,Data Submitted,0,< 5,0
126,COVERED BRIDGE HEALTH CAMPUS,Data Submitted,< 5,< 5,0
127,CRAWFORDSVILLE BICKFORD COTTAGE,Data Submitted,15,< 5,0
128,CREASY SPRINGS HEALTH CAMPUS,Data Submitted,< 5,< 5,0
129,CREEKSIDE HEALTH AND REHABILITATION CENTER,Data Submitted,51,35,18
130,CRESTWOOD VILLAGE SOUTH APARTMENTS,Data Submitted,< 5,< 5,0
131,CROWN POINT CHRISTIAN VILLAGE,Data Submitted,9,7,< 5
132,CROWN POINTE SENIOR LIVING COMMUNITY,Data Submitted,0,< 5,0
133,CROWN SENIOR LIVING,Data Submitted,0,< 5,0
134,CROWNPOINTE OF ANDERSON,Data Submitted,6,< 5,< 5
135,CROWNPOINTE OF CARMEL,Data Submitted,0,0,0
136,CROWNPOINTE OF GREENFIELD,Data Submitted,0,0,0
137,CROWNPOINTE OF HARTFORD CITY,Data Submitted,0,0,0
138,CROWNPOINTE OF INDIANAPOLIS,Data Submitted,< 5,< 5,0
139,CROWNPOINTE OF LEBANON,Data Submitted,0,0,0
140,CROWNPOINTE OF PORTLAND,Data Submitted,0,0,0
141,CUMBERLAND POINTE HEALTH CAMPUS,Data Submitted,0,< 5,0
142,CUMBERLAND TRACE HEALTH & LIVING COMMUNITY,Data Submitted,24,16,< 5
143,DECATUR TOWNSHIP CENTER,Data Submitted,23,10,6
144,DEMAREE CROSSING ASSISTED LIVING AND MEMORY CARE,Data Submitted,< 5,0,< 5
145,DIGBY PLACE,Data Submitted,0,< 5,0
146,DIVERSICARE OF PROVIDENCE,Data Submitted,102,35,33
147,DYER NURSING AND REHABILITATION CENTER,Data Submitted,111,28,20
148,EAGLE CREEK HEALTHCARE CENTER,Data Submitted,0,< 5,0
149,EASTLAKE TERRACE,Data Submitted,< 5,< 5,< 5
150,ELKHART PLACE,Data Submitted,< 5,0,0
151,ELMCROFT OF MUNCIE,Data Submitted,9,< 5,< 5
152,ELWOOD HEALTH AND LIVING,Data Submitted,0,0,0
153,EMERALD PLACE,Data Submitted,0,0,0
154,ENGLEWOOD HEALTH & REHABILITATION CENTER,Data Submitted,22,10,6
155,ENMOTION RECOVERY CARE,Data Submitted,5,< 5,0
156,ESPECIALLY KIDZ HEALTH & REHAB,Data Submitted,0,< 5,0
157,ESSEX NURSING AND REHABILITATION CENTER,Data Submitted,0,< 5,0
158,EVANSVILLE PROTESTANT HOME,Data Submitted,0,< 5,0
159,EVERGREEN CROSSING AND THE LOFTS,Data Submitted,< 5,< 5,< 5
160,EVERGREEN VILLAGE AT BLOOMINGTON,Data Submitted,0,0,0
161,EXCEPTIONAL LIVING CENTER OF BRAZIL,Data Submitted,6,13,0
162,FIVE STAR RESIDENCES OF BANTA POINTE,Data Submitted,0,< 5,0
163,FIVE STAR RESIDENCES OF CLEARWATER,Data Submitted,0,0,0
164,FIVE STAR RESIDENCES OF FORT WAYNE,Data Submitted,0,< 5,0
165,FIVE STAR RESIDENCES OF LAFAYETTE,Data Submitted,0,0,0
166,FIVE STAR RESIDENCES OF NOBLESVILLE,Data Submitted,0,< 5,0
167,FIVE STAR RESIDENCES OF NORTHWOODS,Data Submitted,0,0,0
168,FLATROCK RIVER LODGE,Data Submitted,0,< 5,0
169,FOREST PARK HEALTH CAMPUS,Data Submitted,11,< 5,< 5
170,FORUM AT THE CROSSING,Data Submitted,31,20,8
171,FOUR SEASONS RETIREMENT CENTER,Data Submitted,38,29,11
172,FRANCISCAN HEALTH ALTERNACARE,Data Submitted,0,0,0
173,FREELANDVILLE COMMUNITY HOME,Data Submitted,0,0,0
174,FRIENDS FELLOWSHIP COMMUNITY,Data Submitted,0,< 5,0
175,GARDEN VILLA - BEDFORD,Data Submitted,0,5,0
