_id,facility_name,facility_submission_status,infected_residents,infected_staff,resident_deaths
1,1717 SENIOR LIVING,Data Submitted,0,0,0
2,ADAMS HERITAGE,Data Submitted,< 5,10,0
3,ADAMS WOODCREST,Data Submitted,14,21,< 5
4,ADDISON PLACE,Data Submitted,28,13,< 5
5,ADDISON POINTE HEALTH & REHABILITATION CENTER,Data Submitted,22,10,7
6,ALBANY HEALTH CARE & REHABILITATION CENTER,Data Submitted,46,30,8
7,ALEXANDRIA CARE CENTER,Data Submitted,21,12,< 5
8,ALLISON POINTE HEALTHCARE CENTER,Data Submitted,68,11,11
9,ALLISON POINTE HEALTHCARE CENTER,Data Submitted,0,0,0
10,ALPHA HOME - A WATERS COMMUNITY,Data Submitted,54,8,19
11,ALTENHEIM HEALTH & LIVING COMMUNITY,Data Submitted,< 5,14,0
12,AMBASSADOR HEALTHCARE,Data Submitted,13,9,< 5
13,AMBER MANOR CARE CENTER,Data Submitted,52,53,17
14,ANSON SENIOR LIVING,Data Submitted,0,< 5,0
15,ANTHOLOGY OF MERIDIAN HILLS,Data Submitted,6,< 5,< 5
16,APERION CARE ANGOLA,Data Submitted,< 5,< 5,< 5
17,APERION CARE ARBORS MICHIGAN CITY,Data Submitted,10,< 5,< 5
18,APERION CARE DEMOTTE,Data Submitted,42,15,9
19,APERION CARE FORT WAYNE,Data Submitted,20,8,5
20,APERION CARE FRANKFORT,Data Submitted,< 5,7,0
21,APERION CARE KOKOMO,Data Submitted,28,12,< 5
22,APERION CARE MARION,Data Submitted,< 5,5,0
23,APERION CARE PERU,Data Submitted,0,< 5,0
24,APERION CARE SPENCER,Data Submitted,19,< 5,< 5
25,APERION CARE TOLLESTON PARK,Data Submitted,43,23,7
26,APERION CARE UNIVERSITY PARK,Data Submitted,< 5,7,0
27,APERION CARE WALDRON,Data Submitted,28,11,< 5
28,APERION ESTATES PERU,Data Submitted,0,< 5,0
29,APPLE RIDGE ASSISTED LIVING AND MEMORY CARE,Data Submitted,< 5,5,0
30,ARBOR TRACE HEALTH & LIVING COMMUNITY,Data Submitted,7,< 5,< 5
31,ARLINGTON PLACE HEALTH CAMPUS,Data Submitted,8,13,< 5
32,ASBURY TOWERS HEALTH CARE CENTER,Data Submitted,35,26,5
33,ASHFORD PLACE HEALTH CAMPUS,Data Submitted,53,35,< 5
34,ASHTON CREEK HEALTH AND REHABILITATION CENTER,Data Submitted,33,10,< 5
35,ASPEN PLACE HEALTH CAMPUS,Data Submitted,< 5,9,0
36,ASPEN TRACE HEALTH & LIVING COMMUNITY,Data Submitted,< 5,< 5,0
37,ASSISTED LIVING AT ROMWEBER FLATS,Data Submitted,< 5,< 5,0
38,HHC-ASC ASTER PLACE ASSISTED LIVING,Data Submitted,< 5,< 5,0
39,AUBURN VILLAGE,Data Submitted,31,18,6
40,AUTUMN GLEN,Data Submitted,0,0,0
41,AUTUMN HILLS ALZHEIMER'S SPECIAL CARE CENTER,Data Submitted,0,0,0
42,AUTUMN WOODS HEALTH CAMPUS,Data Submitted,< 5,7,0
43,AVALON SPRINGS HEALTH CAMPUS,Data Submitted,< 5,10,0
44,AVON HEALTH & REHABILITATION CENTER,Data Submitted,36,17,13
45,AZALEA HILLS,Data Submitted,0,0,0
46,BARRINGTON OF CARMEL,Data Submitted,11,14,0
47,BELL OAKS PLACE,Data Submitted,9,7,< 5
48,BELL TRACE HEALTH AND LIVING CENTER,Data Submitted,17,11,< 5
49,BELLTOWER HEALTH & REHABILITATION CENTER,Data Submitted,17,5,0
50,BELVEDERE SENIOR HOUSING,Data Submitted,0,< 5,0
51,BENNETT PLACE,Data Submitted,0,0,0
52,BERTHA D GARTEN KETCHAM MEMORIAL CENTER,Data Submitted,28,26,14
53,BETHANY POINTE HEALTH CAMPUS,Data Submitted,76,62,27
54,BETHEL MANOR,Data Submitted,13,9,0
55,BETHEL POINTE HEALTH AND REHAB,Data Submitted,< 5,< 5,0
56,BICKFORD OF CARMEL,Data Submitted,0,0,0
57,BICKFORD OF CROWN POINT,Data Submitted,0,0,0
58,BICKFORD OF GREENWOOD,Data Submitted,0,0,0
59,BLAIR RIDGE HEALTH CAMPUS,Data Submitted,0,7,0
60,BLISS PLACE,Data Submitted,0,< 5,0
61,BLOOM AT EAGLE CREEK,Data Submitted,7,< 5,< 5
62,BLOOM AT GERMAN CHURCH,Data Submitted,0,0,0
63,BLOOM AT KOKOMO,Data Submitted,13,8,< 5
64,BLOOMINGTON NURSING AND REHABILITATION CENTER,Data Submitted,25,5,< 5
65,BLUFFTON REGIONAL MEDICAL CENTER CONTINUING CARE,Data Submitted,0,< 5,0
66,BRAUN'S NURSING HOME,Data Submitted,< 5,< 5,0
67,BRECKENRIDGE COMMONS,Data Submitted,0,0,0
68,BRECKENRIDGE HEALTH & REHABILITATION,Data Submitted,0,< 5,0
69,BRENTWOOD AT HOBART,Data Submitted,< 5,9,0
70,BRENTWOOD AT LAPORTE,Data Submitted,< 5,5,< 5
71,BRIARCLIFF HEALTH & REHABILITATION CENTER,Data Submitted,< 5,10,0
72,BRIDGE AT GARDEN PLAZA,Data Submitted,< 5,0,< 5
73,BRIDGEPOINTE HEALTH CAMPUS,Data Submitted,12,18,< 5
74,BRIDGEWATER HEALTHCARE CENTER,Data Submitted,< 5,< 5,0
75,BRIDGEWATER REHABILITATION CENTRE,Data Submitted,17,13,< 5
76,BRIGHTSTAR SENIOR LIVING OF FORT WAYNE,Data Submitted,0,0,0
77,BROOKDALE BLOOMINGTON,Data Submitted,0,0,0
78,BROOKDALE CARMEL,Data Submitted,16,6,< 5
79,BROOKDALE FORT WAYNE,Data Submitted,< 5,5,0
80,BROOKDALE GRANGER,Data Submitted,0,< 5,0
81,BROOKDALE RICHMOND,Data Submitted,0,< 5,0
82,BROOKDALE SOUTH BEND,Data Submitted,21,8,5
83,BROOKDALE VALPARAISO,Data Submitted,< 5,< 5,0
84,BROOKE KNOLL VILLAGE,Data Submitted,14,7,< 5
85,BROOKSIDE CARE STRATEGIES,Data Submitted,0,0,0
86,BROOKSIDE VILLAGE,Data Submitted,< 5,10,< 5
87,BROOKVILLE HEALTHCARE CENTER,Data Submitted,28,18,13
88,BROWN COUNTY HEALTH AND LIVING COMMUNITY,Data Submitted,0,< 5,0
89,BROWNSBURG HEALTH CARE CENTER,Data Submitted,27,13,11
90,HHC-ASC BROWNSBURG MEADOWS ASSISTED LIVING,Data Submitted,64,23,26
91,BYRON HEALTH CENTER,Data Submitted,0,10,0
92,CAMELOT CARE CENTER,Data Submitted,< 5,6,0
