_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,45,1,1259
2,ALLEN,2649,110,25724
3,BARTHOLOMEW,578,44,6336
4,BENTON,47,0,556
5,BLACKFORD,35,2,820
6,BOONE,421,42,4784
7,BROWN,38,1,539
8,CARROLL,108,2,1583
9,CASS,1636,9,5295
10,CLARK,616,44,6982
11,CLAY,59,4,1612
12,CLINTON,279,2,3623
13,CRAWFORD,29,0,569
14,DAVIESS,138,16,1763
15,DEARBORN,203,22,2703
16,DECATUR,243,32,2051
17,DEKALB,157,4,2072
18,DELAWARE,425,48,7340
19,DUBOIS,259,6,2802
20,ELKHART,3041,43,21716
21,FAYETTE,95,7,1513
22,FLOYD,362,44,4886
23,FOUNTAIN,28,2,948
24,FRANKLIN,124,8,861
25,FULTON,66,1,1213
26,GIBSON,41,2,1710
27,GRANT,285,26,4519
28,GREENE,184,31,2007
29,HAMILTON,1463,100,25573
30,HANCOCK,418,35,6081
31,HARRISON,208,22,2226
32,HENDRICKS,1366,99,11229
33,HENRY,235,15,3773
34,HOWARD,542,56,5655
35,HUNTINGTON,70,2,2232
36,JACKSON,454,3,3470
37,JASPER,107,2,2422
38,JAY,67,0,1003
39,JEFFERSON,64,1,2205
40,JENNINGS,169,10,1519
41,JOHNSON,1232,118,11534
42,KNOX,62,0,1855
43,KOSCIUSKO,484,2,5076
44,LAGRANGE,456,6,2062
45,LAKE,4847,239,38989
46,LAPORTE,534,25,7401
47,LAWRENCE,229,24,2929
48,MADISON,642,63,7191
49,MARION,11329,679,84343
50,MARSHALL,409,3,4156
51,MARTIN,22,0,458
52,MIAMI,180,2,2466
53,MONROE,244,28,7531
54,MONTGOMERY,285,20,2728
55,MORGAN,318,31,4376
56,NEWTON,94,10,678
57,NOBLE,434,28,3990
58,OHIO,14,0,264
59,ORANGE,133,23,1157
60,OWEN,43,1,1465
61,PARKE,22,0,790
62,PERRY,118,8,1348
63,PIKE,6,0,567
64,PORTER,680,36,9587
65,POSEY,32,0,986
66,PULASKI,59,1,896
67,PUTNAM,165,8,2592
68,RANDOLPH,76,4,1600
69,RIPLEY,112,7,1929
70,RUSH,56,3,1136
71,SCOTT,154,7,2446
72,SHELBY,414,25,3836
73,SPENCER,30,1,852
74,ST JOSEPH,1830,65,25602
75,STARKE,68,3,1183
76,STEUBEN,123,2,1695
77,SULLIVAN,45,1,1473
78,SWITZERLAND,24,0,483
79,TIPPECANOE,633,8,12366
80,TIPTON,30,1,845
81,UNION,13,0,434
82,VANDERBURGH,413,6,11888
83,VERMILLION,13,0,752
84,VIGO,222,8,6323
85,WABASH,107,2,2174
86,WARREN,14,1,305
87,WARRICK,196,29,3117
88,WASHINGTON,64,1,1236
89,WAYNE,127,6,4544
90,WELLS,67,1,1573
91,WHITE,257,10,2404
92,WHITLEY,79,4,1411
