_id,FUND SOURCE,DESCRIPTION,FEDERAL AWARDING AGENCY,BUSINESS UNIT,STATE AGENCY NAME,AWARD,EXPENSE,REMAINING
1,9977,2020 Cooperative Agreement for Emergency Response: Public Health Crisis Response,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,14842611.000,11843954.350,2998656.650
2,9990,2020 TIII-Congregate Meals - Families First Coronavirus Response Act (P.L. 114-144) - Older Americans  Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,1557609.000,1492411.460,65197.540
3,9991,2020 TIII-Home Delivered Meals - Families First Coronavirus Response Act (P.L. 114-144) - Older Americans Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,3115217.000,3035869.380,79347.620
4,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,36,Dept of Agriculture,4000000.000,0.000,4000000.000
5,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,2000000.000,1042124.700,957875.300
6,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,42000000.000,42000000.000,0.000
7,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,300000000.000,200000000.000,100000000.000
8,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,1251378617.580,1140.000,1251377477.580
9,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,110,Adjutant General's Office,5448602.580,0.000,5448602.580
10,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,260,IN Economic Development Corp,218680000.000,172349200.430,46330799.570
11,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,260,IN Economic Development Corp,32325000.000,31459498.390,865501.610
12,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,385,IN Dept of Homeland Security,1134507.740,734507.740,400000.000
13,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,400,IN State Department of Health,316000000.000,63113412.070,252886587.930
14,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,405,Family & Social Svcs Admin,5153102.000,0.000,5153102.000
15,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,410,FSSA Div of Mntl Hlth & Addict,26085986.000,8976108.430,17109877.570
16,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,497,FSSA Disability & Rehab Svcs,55609207.000,17870597.670,37738609.330
17,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,498,FSSA Div of Aging,8454600.000,1799028.000,6655572.000
18,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,500,FSSA Div of Family Resources,11757775.000,0.000,11757775.000
19,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,501,FSSA Early Child Learning,2500.000,0.000,2500.000
20,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,502,Dept of Child Services,10800000.000,0.000,10800000.000
