_id,FUND SOURCE,DESCRIPTION,FEDERAL AWARDING AGENCY,BUSINESS UNIT,STATE AGENCY NAME,AWARD,EXPENSE,REMAINING
1,9977,2020 Cooperative Agreement for Emergency Response: Public Health Crisis Response,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,14842611.000,10781251.690,4061359.310
2,9990,2020 TIII-Congregate Meals - Families First Coronavirus Response Act (P.L. 114-144) - Older Americans  Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,1557609.000,934623.550,622985.450
3,9991,2020 TIII-Home Delivered Meals - Families First Coronavirus Response Act (P.L. 114-144) - Older Americans Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,3115217.000,1695514.790,1419702.210
4,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,300000000.000,50000000.000,250000000.000
5,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,1704116928.160,0.000,1704116928.160
6,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,25000000.000,25000000.000,0.000
7,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,110,Adjutant General's Office,5716000.000,0.000,5716000.000
8,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,260,IN Economic Development Corp,31930000.000,30818394.500,1111605.500
9,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,260,IN Economic Development Corp,189680000.000,76093186.780,113586813.220
10,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,385,IN Dept of Homeland Security,734507.740,734507.740,0.000
11,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,400,IN State Department of Health,100000000.000,0.000,100000000.000
12,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,410,FSSA Div of Mntl Hlth & Addict,9000000.000,0.000,9000000.000
13,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,497,FSSA Disability & Rehab Svcs,23480000.000,2116229.280,21363770.720
14,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,498,FSSA Div of Aging,2520000.000,0.000,2520000.000
15,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,510,Dept of Workforce Development,33000000.000,0.000,33000000.000
16,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,512,Workforce Cabinet,8000000.000,0.000,8000000.000
17,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,719,Comm for Higher Education,9000000.000,0.000,9000000.000
18,10000,2020 Pandemic Unemployment Assistance Implementation Grants Admin Award received 06/25/20,US DEPT OF LABOR,510,Dept of Workforce Development,163970.000,107926.890,56043.110
19,10001,2020 Pandemic Unemployment Compensation Implementation Admin Grants Award received 06/10/20,US DEPT OF LABOR,510,Dept of Workforce Development,85813.000,0.000,85813.000
20,10003,2020 Federal Transit CARES Act,US DEPT OF TRANSPORTATION,800,IN Dept of Transportation,55504089.000,0.000,55504089.000
21,10008,2020 Pandemic Emergency Unemployment Compensation Implementation Grants Award received 06/25/20,US DEPT OF LABOR,510,Dept of Workforce Development,117506.000,3734.260,113771.740
22,10009,"2020 Families First Coronavirus Response Act, Division D Emergency Unemployment Insurance Stabilization and Access Act",US DEPT OF LABOR,510,Dept of Workforce Development,20538609.000,5926689.510,14611919.490
23,10010,2020 Indiana COVID 19 Emergency Mental Health Services,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,447177.680,0.000,447177.680
