_id,FUND SOURCE,DESCRIPTION,FEDERAL AWARDING AGENCY,BUSINESS UNIT,STATE AGENCY NAME,AWARD,EXPENSE,REMAINING
1,9977,2020 Cooperative Agreement for Emergency Response: Public Health Crisis Response,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,14842611.000,11723147.010,3119463.990
2,9990,2020 TIII-Congregate Meals - Families First Coronavirus Response Act (P.L. 114-144) - Older Americans  Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,1557609.000,1433247.920,124361.080
3,9991,2020 TIII-Home Delivered Meals - Families First Coronavirus Response Act (P.L. 114-144) - Older Americans Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,3115217.000,2917531.290,197685.710
4,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,300000000.000,50000000.000,250000000.000
5,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,1577739325.580,0.000,1577739325.580
6,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,2000000.000,0.000,2000000.000
7,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,25000000.000,25000000.000,0.000
8,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,110,Adjutant General's Office,5448602.580,0.000,5448602.580
9,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,260,IN Economic Development Corp,32175000.000,31089531.390,1085468.610
10,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,260,IN Economic Development Corp,214680000.000,160760387.960,53919612.040
11,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,385,IN Dept of Homeland Security,1134507.740,734507.740,400000.000
12,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,400,IN State Department of Health,191000000.000,40249335.100,150750664.900
13,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,410,FSSA Div of Mntl Hlth & Addict,9000000.000,0.000,9000000.000
14,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,497,FSSA Disability & Rehab Svcs,23480000.000,7675242.820,15804757.180
