_id,FUND SOURCE,DESCRIPTION,FEDERAL AWARDING AGENCY,BUSINESS UNIT,STATE AGENCY NAME,AWARD,EXPENSE,REMAINING
1,9977,2020 Cooperative Agreement for Emergency Response: Public Health Crisis Response,US DEPT OF HEALTH & HUMANS SVS,400,IN State Department of Health,14842611.000,11739961.010,3102649.990
2,9990,2020 TIII-Congregate Meals - Families First Coronavirus Response Act (P.L. 114-144) - Older Americans  Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,1557609.000,1441062.350,116546.650
3,9991,2020 TIII-Home Delivered Meals - Families First Coronavirus Response Act (P.L. 114-144) - Older Americans Act,US DEPT OF HEALTH & HUMANS SVS,498,FSSA Div of Aging,3115217.000,2933142.340,182074.660
4,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,36,Dept of Agriculture,4000000.000,0.000,4000000.000
5,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,42000000.000,42000000.000,0.000
6,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,2000000.000,612422.880,1387577.120
7,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,1262178617.580,0.000,1262178617.580
8,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,57,Budget Agency,300000000.000,200000000.000,100000000.000
9,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,110,Adjutant General's Office,5448602.580,0.000,5448602.580
10,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,260,IN Economic Development Corp,32325000.000,31272864.890,1052135.110
11,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,260,IN Economic Development Corp,218680000.000,167101035.780,51578964.220
12,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,385,IN Dept of Homeland Security,1134507.740,734507.740,400000.000
13,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,400,IN State Department of Health,316000000.000,47850135.470,268149864.530
14,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,405,Family & Social Svcs Admin,5153102.000,0.000,5153102.000
15,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,410,FSSA Div of Mntl Hlth & Addict,26085986.000,0.000,26085986.000
16,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,497,FSSA Disability & Rehab Svcs,55609207.000,7705242.820,47903964.180
17,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,498,FSSA Div of Aging,2520000.000,1349271.000,1170729.000
18,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,500,FSSA Div of Family Resources,11757775.000,0.000,11757775.000
19,9995,2020 Coronavirus Relief Fund,US DEPT OF TREASURY,501,FSSA Early Child Learning,2500.000,0.000,2500.000
